iter	RMSE
0	16.26505654
1	15.84576689
2	15.45417368
3	15.05377245
4	14.66193427
5	14.29363905
6	13.99211125
7	13.67532196
8	13.35574577
9	13.05842287
10	12.76737487
11	12.50324977
12	12.2374241
13	11.97523513
14	11.72456298
15	11.46698295
16	11.25988286
17	11.03761056
18	10.82667939
19	10.60984855
20	10.42573345
21	10.24839005
22	10.06648109
23	9.894325423
24	9.707897655
25	9.557390441
26	9.397289253
27	9.250033292
28	9.110354371
29	8.960639331
30	8.840686934
31	8.737660707
32	8.61024824
33	8.487280466
34	8.360977061
35	8.259335835
36	8.163019848
37	8.068247567
38	7.962426748
39	7.869757069
40	7.782054623
41	7.695949511
42	7.615458665
43	7.537111282
44	7.461731316
45	7.384639351
46	7.317422805
47	7.247768724
48	7.181766637
49	7.127015983
50	7.047507839
51	6.996011739
52	6.938070016
53	6.879747407
54	6.824133419
55	6.768040603
56	6.72676837
57	6.68939731
58	6.645521443
59	6.589805089
60	6.531792207
61	6.491389587
62	6.441435508
63	6.388534549
64	6.34855284
65	6.299800666
66	6.256406516
67	6.213419077
68	6.180544306
69	6.144180486
70	6.11056799
71	6.065516568
72	6.030772863
73	5.987437245
74	5.966436597
75	5.937276423
76	5.913232544
77	5.8830275
78	5.849956307
79	5.819544908
80	5.796120485
81	5.771673358
82	5.746070489
83	5.724008559
84	5.695564569
85	5.664839475
86	5.643484232
87	5.621575469
88	5.598566486
89	5.573585631
90	5.553559519
91	5.529875716
92	5.509711468
93	5.493027286
94	5.470500517
95	5.45427645
96	5.433083091
97	5.410219343
98	5.385669283
99	5.373843386
100	5.354981241
101	5.32811493
102	5.309911158
103	5.291027363
104	5.274034424
105	5.260713764
106	5.231271952
107	5.210174016
108	5.190355928
109	5.177491553
110	5.163710924
111	5.151598882
112	5.13500714
113	5.114501302
114	5.103436135
115	5.0872069
116	5.064699231
117	5.047663643
118	5.035148844
119	5.023654593
120	5.012851962
121	5.00580036
122	4.998154563
123	4.983245666
124	4.964695813
125	4.953718017
126	4.940189537
127	4.927729301
128	4.91561096
129	4.896520033
130	4.88636992
131	4.873784387
132	4.863118205
133	4.854480242
134	4.841229405
135	4.828524474
136	4.82075321
137	4.805864117
138	4.794489421
139	4.778851683
140	4.767366963
141	4.748381465
142	4.735026009
143	4.723358317
144	4.710406262
145	4.700393217
146	4.689938735
147	4.674112358
148	4.670374021
149	4.655571059
150	4.644929821
151	4.636395611
152	4.62820907
153	4.614954317
154	4.600160378
155	4.58936074
156	4.579832315
157	4.569151475
158	4.561373085
159	4.546768752
160	4.53785346
161	4.523305188
162	4.510365525
163	4.50236818
164	4.490085696
165	4.47762716
166	4.471175709
167	4.463631089
168	4.453564866
169	4.446634446
170	4.439813612
171	4.433045752
172	4.4242001
173	4.410565488
174	4.39699116
175	4.386481458
176	4.375819583
177	4.370404405
178	4.361931446
179	4.35201687
180	4.345814055
181	4.332655462
182	4.324637264
183	4.314176565
184	4.305099932
185	4.298799017
186	4.28999654
187	4.275402595
188	4.268040576
189	4.264370764
190	4.25424448
191	4.243252749
192	4.237123835
193	4.229848973
194	4.222239118
195	4.21389914
196	4.209851575
197	4.20396279
198	4.200387537
199	4.196346252
200	4.192233837
201	4.179269938
202	4.171702381
203	4.165789384
204	4.161348789
205	4.152187708
206	4.149879853
207	4.146405492
208	4.14206544
209	4.13841139
210	4.123617314
211	4.121146788
212	4.111620845
213	4.104923314
214	4.096173087
215	4.081211281
216	4.070478175
217	4.064153842
218	4.055955676
219	4.048480959
220	4.041755901
221	4.030303195
222	4.027421985
223	4.016792833
224	4.013402436
225	4.002359585
226	3.992081536
227	3.986583144
228	3.976292771
229	3.973579495
230	3.964349286
231	3.952435673
232	3.941175292
233	3.939039726
234	3.937021047
235	3.931832758
236	3.9278977
237	3.921995274
238	3.920002634
239	3.910288343
240	3.906172361
241	3.898763347
242	3.893255186
243	3.884136536
244	3.877335865
245	3.86530184
246	3.860413746
247	3.855159746
248	3.843173996
249	3.835021483
250	3.83113418
251	3.818140218
252	3.803869229
253	3.795024984
254	3.786627325
255	3.776252934
256	3.768054319
257	3.762310148
258	3.753189819
259	3.748164935
260	3.746600136
261	3.736750427
262	3.727447359
263	3.725907444
264	3.724418461
265	3.71452413
266	3.70203225
267	3.695944132
268	3.690978215
269	3.681314704
270	3.674448637
271	3.666626949
272	3.659479983
273	3.651375762
274	3.648848267
275	3.639092832
276	3.631081163
277	3.624997112
278	3.612415059
279	3.610942958
280	3.606232486
281	3.605459209
282	3.60154158
283	3.597288585
284	3.59050907
285	3.589684923
286	3.582513836
287	3.580132621
288	3.576188413
289	3.56580251
290	3.559284872
291	3.552031411
292	3.541596624
293	3.540802603
294	3.536765353
295	3.529218644
296	3.528268618
297	3.522002865
298	3.521121269
299	3.520337979
300	3.512448933
301	3.511729371
302	3.511075484
303	3.502436829
304	3.494032154
305	3.486896016
306	3.484837493
307	3.475634093
308	3.474886217
309	3.474299177
310	3.463448116
311	3.455859493
312	3.450377772
313	3.444379475
314	3.438967229
315	3.438312884
316	3.430722374
317	3.430081564
318	3.424462195
319	3.417989791
320	3.411246353
321	3.405587298
322	3.403338442
323	3.397989887
324	3.396663843
325	3.390365408
326	3.381267462
327	3.372115849
328	3.363831017
329	3.361712388
330	3.360940717
331	3.352394618
332	3.344415619
333	3.343426297
334	3.337235236
335	3.330016073
336	3.324553677
337	3.321188215
338	3.320693882
339	3.311429045
340	3.308659546
341	3.301790779
342	3.298175922
343	3.292540362
344	3.285750036
345	3.281252758
346	3.277781374
347	3.269781505
348	3.259661398
349	3.258725457
350	3.252689925
351	3.247179905
352	3.236922244
353	3.231068882
354	3.227320662
355	3.220435119
356	3.21532821
357	3.212610975
358	3.208320446
359	3.20405232
360	3.201167164
361	3.196380125
362	3.190750651
363	3.184889966
364	3.177783525
365	3.172828579
366	3.172280101
367	3.166965438
368	3.162791523
369	3.160233528
370	3.159742207
371	3.153445437
372	3.152935058
373	3.146582125
374	3.141856082
375	3.13699639
376	3.133791005
377	3.126106127
378	3.117068383
379	3.113098813
380	3.112562377
381	3.107022089
382	3.101947396
383	3.101204912
384	3.094791852
385	3.085082389
386	3.081793748
387	3.076182498
388	3.071524446
389	3.068409185
390	3.067706316
391	3.06142014
392	3.058714851
393	3.05705854
394	3.04758944
395	3.041832618
396	3.037637134
397	3.032037655
398	3.027846178
399	3.023051049
400	3.021652973
401	3.019957624
402	3.018777476
403	3.012988412
404	3.012580912
405	3.010395497
406	3.007640701
407	3.001486444
408	3.000517911
409	2.999001808
410	2.992822384
411	2.990084925
412	2.984708947
413	2.979081029
414	2.97373888
415	2.969295918
416	2.962672654
417	2.959185775
418	2.955833485
419	2.950460507
420	2.950102725
421	2.945622826
422	2.940959482
423	2.936735091
424	2.936122352
425	2.933523275
426	2.929979356
427	2.92248932
428	2.915745121
429	2.912045913
430	2.907428381
431	2.902359281
432	2.897885974
433	2.892363704
434	2.885708143
435	2.883036043
436	2.878639627
437	2.876204037
438	2.871179782
439	2.867657279
440	2.865101814
441	2.859723786
442	2.854478473
443	2.847014209
444	2.841699584
445	2.838663859
446	2.834093809
447	2.829525318
448	2.828343302
449	2.827203531
450	2.824805332
451	2.822750559
452	2.818192907
453	2.814616091
454	2.808995006
455	2.806564828
456	2.803825512
457	2.799372887
458	2.797422764
459	2.794226488
460	2.791374784
461	2.788017989
462	2.780194995
463	2.777658087
464	2.774381708
465	2.770513484
466	2.76950016
467	2.76389028
468	2.759626187
469	2.759049448
470	2.757924761
471	2.7545247
472	2.751173831
473	2.748089595
474	2.744925895
475	2.741736143
476	2.73804082
477	2.7352323
478	2.733762407
479	2.730621275
480	2.727197169
481	2.723474024
482	2.720289646
483	2.719272525
484	2.715940388
485	2.714722928
486	2.711957424
487	2.708319693
488	2.704941588
489	2.701780617
490	2.697370212
491	2.69501616
492	2.691131639
493	2.688443833
494	2.683460608
495	2.678275595
496	2.674699584
497	2.670129533
498	2.669349013
499	2.662439453
500	2.660988997
501	2.658919483
502	2.657206607
503	2.653454859
504	2.649064836
505	2.646394326
506	2.645172929
507	2.638734894
508	2.635609816
509	2.632260081
510	2.629294512
511	2.627911154
512	2.624727021
513	2.622047221
514	2.619360519
515	2.616775432
516	2.613121299
517	2.609264961
518	2.607612171
519	2.604076723
520	2.60145317
521	2.600257436
522	2.596831065
523	2.594377279
524	2.591667915
525	2.589554217
526	2.587325159
527	2.582942578
528	2.580562592
529	2.577667732
530	2.573449713
531	2.569907788
532	2.565378796
533	2.563020199
534	2.560252202
535	2.559129377
536	2.555796267
537	2.554680742
538	2.551172853
539	2.550017617
540	2.545858093
541	2.542118041
542	2.540961178
543	2.536908589
544	2.535061532
545	2.532533722
546	2.52756349
547	2.521747374
548	2.521174475
549	2.518345945
550	2.517649945
551	2.514543596
552	2.512799133
553	2.509865261
554	2.50689227
555	2.502902824
556	2.499672298
557	2.497290013
558	2.492639765
559	2.491961079
560	2.490570016
561	2.488415181
562	2.48675734
563	2.485426946
564	2.482518321
565	2.479838827
566	2.474811832
567	2.472055396
568	2.468413216
569	2.46374077
570	2.460866147
571	2.458906166
572	2.457228525
573	2.456774723
574	2.454611033
575	2.451663288
576	2.449336424
577	2.447451769
578	2.444341071
579	2.44315107
580	2.440124485
581	2.437435978
582	2.436071005
583	2.433652021
584	2.430352508
585	2.429097909
586	2.428816416
587	2.426239597
588	2.423041142
589	2.421671897
590	2.418924877
591	2.417219539
592	2.414532967
593	2.411750043
594	2.40896845
595	2.407587708
596	2.40465983
597	2.401996082
598	2.400920389
599	2.399279904
600	2.396825806
601	2.395083183
602	2.39287669
603	2.391850601
604	2.390618958
605	2.387664674
606	2.386543012
607	2.383921645
608	2.381467887
609	2.377671953
610	2.376222175
611	2.374124486
612	2.370790162
613	2.367104849
614	2.36451469
615	2.361621378
616	2.358535236
617	2.35706135
618	2.355068636
619	2.35301107
620	2.350921451
621	2.349708732
622	2.347733734
623	2.346522738
624	2.342744438
625	2.339843538
626	2.337767793
627	2.336526682
628	2.334694382
629	2.332633967
630	2.330752124
631	2.328593695
632	2.325558215
633	2.323935244
634	2.321837
635	2.319085992
636	2.316461006
637	2.313271277
638	2.312559778
639	2.309965467
640	2.307295655
641	2.304800525
642	2.303115742
643	2.301207277
644	2.299062646
645	2.298233798
646	2.29393843
647	2.291121602
648	2.289583322
649	2.287261785
650	2.284378398
651	2.281871809
652	2.279739306
653	2.278494615
654	2.276414543
655	2.273918373
656	2.272805296
657	2.271178541
658	2.269069717
659	2.267145985
660	2.265340189
661	2.264275099
662	2.262227096
663	2.260149051
664	2.259163018
665	2.256723373
666	2.254459589
667	2.25120997
668	2.249064794
669	2.24658011
670	2.245970028
671	2.244669928
672	2.242765758
673	2.242146142
674	2.240580509
675	2.238460303
676	2.237677186
677	2.236483416
678	2.234598907
679	2.233293927
680	2.231303222
681	2.229067652
682	2.227035306
683	2.224208432
684	2.222878135
685	2.221846744
686	2.219833929
687	2.217905791
688	2.216892531
689	2.215491271
690	2.215307335
691	2.213837717
692	2.212096966
693	2.210523695
694	2.209075918
695	2.206528326
696	2.204353717
697	2.20217999
698	2.198565032
699	2.196434231
700	2.19475112
701	2.193685758
702	2.192197449
