iter	Passed	Remaining
0	8	1285
1	16	1185
2	22	1105
3	27	1020
4	33	965
5	37	911
6	42	869
7	46	828
8	50	790
9	53	755
10	57	723
11	60	694
12	63	672
13	66	646
14	69	623
15	71	602
16	74	584
17	77	568
18	80	553
19	83	539
20	86	528
21	88	514
22	91	504
23	94	494
24	97	485
25	99	476
26	102	466
27	105	458
28	108	450
29	110	443
30	113	436
31	116	430
32	119	423
33	121	416
34	124	409
35	127	403
36	130	398
37	133	392
38	135	387
39	138	381
40	141	376
41	143	370
42	146	364
43	149	359
44	152	355
45	155	350
46	157	345
47	160	340
48	163	336
49	166	332
50	168	327
51	171	323
52	174	319
53	177	314
54	179	310
55	182	306
56	185	302
57	188	298
58	191	295
59	194	291
60	197	288
61	200	284
62	203	280
63	206	277
64	209	273
65	211	269
66	214	265
67	217	261
68	219	258
69	222	254
70	225	250
71	228	247
72	230	243
73	233	239
74	236	236
75	239	232
76	241	229
77	244	225
78	247	222
79	249	218
80	252	214
81	254	211
82	257	207
83	260	204
84	263	201
85	265	197
86	268	194
87	270	190
88	273	187
89	276	184
90	279	181
91	282	177
92	285	174
93	287	171
94	290	168
95	293	164
96	295	161
97	298	158
98	301	155
99	303	151
100	306	148
101	309	145
102	312	142
103	314	139
104	317	136
105	320	133
106	323	129
107	326	126
108	328	123
109	331	120
110	334	117
111	336	114
112	339	111
113	342	108
114	344	104
115	347	101
116	350	98
117	352	95
118	355	92
119	358	89
120	361	86
121	363	83
122	366	80
123	368	77
124	371	74
125	374	71
126	377	68
127	379	65
128	382	62
129	385	59
130	388	56
131	391	53
132	394	50
133	396	47
134	399	44
135	402	41
136	405	38
137	408	35
138	410	32
139	413	29
140	416	26
141	418	23
142	421	20
143	424	17
144	426	14
145	429	11
146	432	8
147	434	5
148	437	2
149	440	0
